Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
SS0243_PP421_SM1_BF1_Base,SUCCESS,10.89111111111111,110,,151409.,0.03330,17.61,Jun 04 07:18,Jun 04 18:11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0247_PP277_SM3_BF1_Base,SUCCESS,6.4880555555555555,70,,141230.,0.04279,25.78,Jun 04 03:50,Jun 04 10:19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0248_PP168_SM1_BF1_Base,SUCCESS,10.610833333333334,110,,270264.,0.04775,17.51,Jun 04 04:02,Jun 04 14:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0248_PP327_SM1_BF1_Base,SUCCESS,12.95611111111111,130,,267744.,0.04735,17.51,Jun 04 05:30,Jun 04 18:28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0248_PP438_SM5_BF1_Base,SUCCESS,10.658333333333333,110,,263913.,0.04661,17.51,Jun 04 04:28,Jun 04 15:07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0248_PP489_SM1_BF1_Base,SUCCESS,10.362499999999999,110,,273582.,0.04853,17.51,Jun 04 03:42,Jun 04 14:04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0250_PP030_SM2_BF1_Base,SUCCESS,10.584722222222222,110,,128269.,0.02693,17.51,Jun 04 07:20,Jun 04 17:55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0250_PP150_SM3_BF1_Base,SUCCESS,10.690555555555555,110,,128025.,0.02705,17.51,Jun 04 06:58,Jun 04 17:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0250_PP170_SM5_BF1_Base,SUCCESS,10.265833333333333,110,,126821.,0.02647,22.26,Jun 04 03:43,Jun 04 13:59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0250_PP235_SM2_BF1_Base,SUCCESS,10.765277777777778,110,,131159.,0.02733,17.51,Jun 04 03:44,Jun 04 14:30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0250_PP298_SM5_BF1_Base,SUCCESS,10.951388888888888,110,,128938.,0.02666,18.46,Jun 04 03:59,Jun 04 14:56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0250_PP300_SM4_BF1_Base,SUCCESS,10.718055555555555,110,,132986.,0.02808,17.81,Jun 04 03:46,Jun 04 14:29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0250_PP324_SM5_BF1_Base,SUCCESS,10.569444444444445,110,,126015.,0.02638,17.51,Jun 04 06:20,Jun 04 16:54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0250_PP343_SM1_BF1_Base,SUCCESS,10.77138888888889,110,,135224.,0.02837,17.51,Jun 04 04:14,Jun 04 15:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0250_PP440_SM3_BF1_Base,SUCCESS,11.029444444444445,120,,130665.,0.02775,17.66,Jun 04 03:40,Jun 04 14:42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0250_PP474_SM1_BF1_Base,SUCCESS,10.058611111111112,110,,134649.,0.02845,17.51,Jun 04 03:40,Jun 04 13:44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0252_PP454_SM5_BF1_Base,SUCCESS,10.068055555555555,110,,425658.,0.09199,18.37,Jun 04 04:00,Jun 04 14:04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0256_PP227_SM2_BF1_Base,SUCCESS,9.953055555555554,100,,164363.,0.04020,17.51,Jun 04 04:04,Jun 04 14:01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0256_PP338_SM2_BF1_Base,SUCCESS,10.408055555555556,110,,160743.,0.03959,27.78,Jun 04 07:20,Jun 04 17:44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0257_PP015_SM4_BF1_Base,SUCCESS,10.274166666666668,110,,126413.,0.03198,17.51,Jun 04 04:02,Jun 04 14:18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0257_PP019_SM4_BF1_Base,SUCCESS,10.0225,110,,127658.,0.03259,17.51,Jun 04 04:35,Jun 04 14:36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0257_PP136_SM3_BF1_Base,SUCCESS,12.441944444444445,130,,126551.,0.03285,17.51,Jun 04 03:41,Jun 04 16:07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0257_PP232_SM3_BF1_Base,SUCCESS,9.524166666666668,100,,126230.,0.03257,17.51,Jun 04 07:00,Jun 04 16:32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0257_PP242_SM1_BF1_Base,SUCCESS,10.087222222222223,110,,123449.,0.03170,17.74,Jun 04 04:01,Jun 04 14:06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0257_PP331_SM1_BF1_Base,SUCCESS,9.953888888888889,100,,125674.,0.03241,17.51,Jun 04 04:01,Jun 04 13:59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0257_PP444_SM1_BF1_Base,SUCCESS,10.275,110,,127104.,0.03279,17.51,Jun 04 03:40,Jun 04 13:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0257_PP451_SM1_BF1_Base,SUCCESS,10.123888888888889,110,,126192.,0.03226,17.51,Jun 04 04:33,Jun 04 14:40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0262_PP044_SM5_BF1_Base,SUCCESS,12.557222222222222,130,,307862.,0.04847,18.83,Jun 04 03:58,Jun 04 16:31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0262_PP118_SM4_BF1_Base,SUCCESS,12.206666666666665,130,,287717.,0.04486,17.51,Jun 04 07:25,Jun 04 19:37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0262_PP348_SM1_BF1_Base,SUCCESS,11.121666666666668,120,,228565.,0.03587,17.51,Jun 04 03:44,Jun 04 14:52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0262_PP432_SM4_BF1_Base,SUCCESS,12.590277777777779,130,,286957.,0.04458,17.51,Jun 04 04:03,Jun 04 16:38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0263_PP010_SM1_BF1_Base,SUCCESS,9.603055555555555,100,,151005.,0.02845,17.64,Jun 04 03:41,Jun 04 13:17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0263_PP012_SM4_BF1_Base,SUCCESS,10.245277777777776,110,,150738.,0.02808,22.02,Jun 04 04:42,Jun 04 14:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0263_PP019_SM3_BF1_Base,SUCCESS,10.970277777777778,110,,153888.,0.02871,22.39,Jun 04 03:54,Jun 04 14:52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0263_PP081_SM5_BF1_Base,SUCCESS,10.587777777777779,110,,149765.,0.02799,17.51,Jun 04 04:21,Jun 04 14:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0263_PP287_SM4_BF1_Base,SUCCESS,9.858888888888888,100,,151716.,0.02842,22.20,Jun 04 10:18,Jun 04 20:09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0263_PP343_SM3_BF1_Base,SUCCESS,10.495277777777776,110,,149300.,0.02823,17.51,Jun 04 04:29,Jun 04 14:59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0263_PP361_SM5_BF1_Base,SUCCESS,11.248888888888889,120,,153135.,0.02828,22.42,Jun 04 07:03,Jun 04 18:18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0263_PP364_SM1_BF1_Base,SUCCESS,10.762777777777778,110,,149923.,0.02817,17.51,Jun 04 05:07,Jun 04 15:53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0264_PP081_SM2_BF1_Base,SUCCESS,11.114166666666666,120,,138497.,0.04118,17.51,Jun 04 04:02,Jun 04 15:09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0269_PP111_SM2_BF1_Base,SUCCESS,10.674444444444443,110,,123471.,0.03489,17.51,Jun 04 05:17,Jun 04 15:58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0270_PP021_SM3_BF1_Base,SUCCESS,9.877777777777778,100,,145561.,0.03271,17.56,Jun 04 04:53,Jun 04 14:46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0270_PP161_SM4_BF1_Base,SUCCESS,11.12861111111111,120,,155604.,0.03485,17.51,Jun 04 05:13,Jun 04 16:21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0271_PP026_SM1_BF1_Base,SUCCESS,12.14472222222222,130,,143906.,0.02830,17.51,Jun 04 03:42,Jun 04 15:50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0271_PP347_SM1_BF1_Base,SUCCESS,13.233888888888888,140,,146186.,0.02882,18.16,Jun 04 04:16,Jun 04 17:30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
